,cod_loja,data_semana_comercial,venda,PRED,APE,RMSE
0,406,21/08/2022,925,858,7.24,194.91
1,407,21/08/2022,68,62,8.82,194.91
2,406,28/08/2022,1001,1032,3.1,194.91
3,407,28/08/2022,57,52,8.77,194.91
4,406,04/09/2022,1149,1244,8.27,194.91
5,407,04/09/2022,95,104,9.47,194.91
6,406,11/09/2022,1160,1457,25.6,194.91
7,407,11/09/2022,72,70,2.78,194.91
8,406,18/09/2022,1197,1609,34.42,194.91
9,407,18/09/2022,68,54,20.59,194.91
10,406,25/09/2022,1164,992,14.78,194.91
11,407,25/09/2022,67,62,7.46,194.91
12,406,02/10/2022,870,1032,18.62,194.91
13,407,02/10/2022,38,62,63.16,194.91
14,406,09/10/2022,721,1132,57.0,194.91
15,407,09/10/2022,25,75,200.0,194.91
16,406,16/10/2022,492,920,86.99,194.91
17,407,16/10/2022,7,4,42.86,194.91
